name,country,latitude,longitude,timezone,population
Silkeborg,Дания,56.1697,9.54508,Europe/Copenhagen,49747
Roskilde,Дания,55.64152,12.08035,Europe/Copenhagen,51916
Rødovre,Дания,55.68062,12.45373,Europe/Copenhagen,40652
Ringsted,Дания,55.4426,11.79011,Europe/Copenhagen,23086
Randers,Дания,56.4607,10.03639,Europe/Copenhagen,62802
Odense,Дания,55.39594,10.38831,Europe/Copenhagen,180863
Nykøbing Falster,Дания,54.76906,11.87425,Europe/Copenhagen,19976
Nyborg,Дания,55.31274,10.78964,Europe/Copenhagen,17525
Næstved,Дания,55.22992,11.76092,Europe/Copenhagen,44331
Nørresundby,Дания,57.05877,9.92284,Europe/Copenhagen,23718
Middelfart,Дания,55.50591,9.73054,Europe/Copenhagen,16277
Lillerød,Дания,55.87496,12.34579,Europe/Copenhagen,16741
Køge,Дания,55.45802,12.18214,Europe/Copenhagen,38304
Copenhagen,Дания,55.67594,12.56553,Europe/Copenhagen,1153615
Kolding,Дания,55.4904,9.47216,Europe/Copenhagen,61638
Klinteby Frihed,Дания,55.19705,11.59603,Europe/Copenhagen,53443
Kalundborg,Дания,55.67954,11.08864,Europe/Copenhagen,16211
Ishøj,Дания,55.61543,12.35182,Europe/Copenhagen,19453
Hvidovre,Дания,55.64297,12.47708,Europe/Copenhagen,53527
Horsens,Дания,55.86066,9.85034,Europe/Copenhagen,61074
Hørsholm,Дания,55.88098,12.50111,Europe/Copenhagen,47680
Holstebro,Дания,56.36009,8.61607,Europe/Copenhagen,32072
Holbæk,Дания,55.7175,11.71279,Europe/Copenhagen,29608
Hjørring,Дания,57.46417,9.98229,Europe/Copenhagen,25644
Hillerød,Дания,55.92791,12.30081,Europe/Copenhagen,35357
Herning,Дания,56.13615,8.97662,Europe/Copenhagen,50565
Helsingør,Дания,56.03606,12.6136,Europe/Copenhagen,35048
Hedensted,Дания,55.77043,9.7011,Europe/Copenhagen,47099
Haderslev,Дания,55.24943,9.48771,Europe/Copenhagen,22011
Greve,Дания,55.58333,12.3,Europe/Copenhagen,47671
Glostrup,Дания,55.6666,12.40377,Europe/Copenhagen,23128
Frederikssund,Дания,55.83956,12.06896,Europe/Copenhagen,16850
Frederikshavn,Дания,57.44073,10.53661,Europe/Copenhagen,22672
Frederiksberg,Дания,55.67938,12.53463,Europe/Copenhagen,95029
Fredericia,Дания,55.56568,9.75257,Europe/Copenhagen,40886
Farum,Дания,55.80858,12.36066,Europe/Copenhagen,20312
Esbjerg,Дания,55.47028,8.45187,Europe/Copenhagen,71698
Charlottenlund,Дания,55.75238,12.5745,Europe/Copenhagen,40000
Brøndbyvester,Дания,55.6455,12.41008,Europe/Copenhagen,20000
Birkerød,Дания,55.84759,12.42791,Europe/Copenhagen,20877
Ballerup,Дания,55.73165,12.36328,Europe/Copenhagen,40000
Avedøre,Дания,55.62722,12.45644,Europe/Copenhagen,53443
Århus,Дания,56.15674,10.21076,Europe/Copenhagen,285273
Allerød,Дания,55.87035,12.35737,Europe/Copenhagen,25867
Aalborg,Дания,57.048,9.9187,Europe/Copenhagen,142937
Albertslund,Дания,55.65691,12.36381,Europe/Copenhagen,30000
Aabenraa,Дания,55.04434,9.41741,Europe/Copenhagen,16401
Roseau,DM,15.30174,-61.38808,America/Dominica,16571
Villa Francisca,DO,18.48278,-69.88914,America/Santo_Domingo,50185
Villa Consuelo,DO,18.48333,-69.9,America/Santo_Domingo,28621
Villa Bisonó,DO,19.56378,-70.87582,America/Santo_Domingo,33137
Villa Altagracia,DO,18.67297,-70.17095,America/Santo_Domingo,40027
Tamboril,DO,19.48538,-70.61104,America/Santo_Domingo,23304
Santo Domingo,DO,18.47186,-69.89232,America/Santo_Domingo,2201941
Santiago de los Caballeros,DO,19.45036,-70.69085,America/Santo_Domingo,1200000
Santa Cruz de El Seibo,DO,18.76484,-69.03991,America/Santo_Domingo,23547
Santa Cruz de Barahona,DO,18.20861,-71.10068,America/Santo_Domingo,77160
San Pedro de Macorís,DO,18.4539,-69.30864,America/Santo_Domingo,217899
San Juan de la Maguana,DO,18.8064,-71.22626,America/Santo_Domingo,72950
San José de Ocoa,DO,18.54685,-70.50692,America/Santo_Domingo,21148
San Francisco de Macorís,DO,19.29377,-70.25285,America/Santo_Domingo,124763
San Fernando de Monte Cristi,DO,19.84799,-71.64604,America/Santo_Domingo,17001
Puerto Plata,DO,19.79344,-70.6884,America/Santo_Domingo,146000
Salvaleón de Higüey,DO,18.61501,-68.70798,America/Santo_Domingo,123787
Salcedo,DO,19.37766,-70.41719,America/Santo_Domingo,45299
San Ignacio de Sabaneta,DO,19.47837,-71.33932,America/Santo_Domingo,16380
Sabana Grande de Boyá,DO,18.94498,-69.79331,America/Santo_Domingo,16834
Río Grande,DO,19.66667,-70.76667,America/Santo_Domingo,20154
Quisqueya,DO,18.55542,-69.40814,America/Santo_Domingo,17694
Punta Cana,DO,18.58182,-68.40431,America/Santo_Domingo,100023
Neiba,DO,18.4898,-71.41894,America/Santo_Domingo,18670
Nagua,DO,19.3832,-69.8474,America/Santo_Domingo,33862
Monte Plata,DO,18.80748,-69.78431,America/Santo_Domingo,15532
Monte Llano,DO,19.7346,-70.59915,America/Santo_Domingo,19029
Moca,DO,19.39289,-70.52347,America/Santo_Domingo,61834
Mao,DO,19.54908,-71.07808,America/Santo_Domingo,48297
Las Matas de Farfán,DO,18.87309,-71.51656,America/Santo_Domingo,21802
La Romana,DO,18.42332,-68.96635,America/Santo_Domingo,208437
Jarabacoa,DO,19.11683,-70.63595,America/Santo_Domingo,29983
Hato Mayor del Rey,DO,18.76575,-69.25579,America/Santo_Domingo,35999
Esperanza,DO,19.58469,-70.98489,America/Santo_Domingo,42169
Dajabón,DO,19.54811,-71.70821,America/Santo_Domingo,16398
Cristo Rey,DO,18.5,-69.93333,America/Santo_Domingo,57084
Cotuí,DO,19.05385,-70.15116,America/Santo_Domingo,41641
Constanza,DO,18.90919,-70.74499,America/Santo_Domingo,29481
La Vega,DO,19.22031,-70.53101,America/Santo_Domingo,102426
Ciudad Nueva,DO,18.46707,-69.89339,America/Santo_Domingo,18756
Bonao,DO,18.94154,-70.41111,America/Santo_Domingo,73269
Boca Chica,DO,18.45,-69.6,America/Santo_Domingo,46300
San Cristóbal,DO,18.41713,-70.10682,America/Santo_Domingo,154040
Bella Vista,DO,18.45539,-69.9454,America/Santo_Domingo,175683
Bayaguana,DO,18.75031,-69.63525,America/Santo_Domingo,21055
Baní,DO,18.27971,-70.33181,America/Santo_Domingo,66709
Bajos de Haina,DO,18.41538,-70.03317,America/Santo_Domingo,66784
Azua,DO,18.45319,-70.7349,America/Santo_Domingo,59139
Santo Domingo Oeste,DO,18.5,-70.0,America/Santo_Domingo,701269
Santo Domingo Este,DO,18.48511,-69.84757,America/Santo_Domingo,700000
Boumerdas,DZ,36.76639,3.47717,Africa/Algiers,28996
Zighout Youcef,DZ,36.53307,6.71237,Africa/Algiers,28764
Zeribet el Oued,DZ,34.68284,6.51109,Africa/Algiers,23187
Zeralda,DZ,36.71169,2.84244,Africa/Algiers,17563
Zemoura,DZ,35.72251,0.75509,Africa/Algiers,21770
Touggourt,DZ,33.11083,6.07,Africa/Algiers,143270
Tolga,DZ,34.72224,5.37845,Africa/Algiers,50575
Tlemcen,DZ,34.87833,-1.315,Africa/Algiers,173531
Tizi Rached,DZ,36.67176,4.19176,Africa/Algiers,17872
Tizi Ouzou,DZ,36.71182,4.04591,Africa/Algiers,104312
Tizi-n-Tleta,DZ,36.54569,4.05712,Africa/Algiers,22404
Tizi Gheniff,DZ,36.58839,3.77445,Africa/Algiers,27974
Tissemsilt,DZ,35.60722,1.81081,Africa/Algiers,66084
Tirmitine,DZ,36.65393,3.98143,Africa/Algiers,26261
Tipasa,DZ,36.58972,2.44889,Africa/Algiers,15180
Tindouf,DZ,27.67111,-8.14743,Africa/Algiers,45610
Timizart,DZ,36.8,4.26667,Africa/Algiers,41158
Timimoun,DZ,29.26417,0.23583,Africa/Algiers,22086
el hed,DZ,36.65,4.77361,Africa/Algiers,31890
Tighenif,DZ,35.41722,0.32982,Africa/Algiers,39938
Tiaret,DZ,35.37103,1.31699,Africa/Algiers,178915
Theniet el Had,DZ,35.87111,2.02806,Africa/Algiers,27628
Thenia,DZ,36.72544,3.55665,Africa/Algiers,16180
Ténès,DZ,36.51076,1.30809,Africa/Algiers,29220
Telerghma,DZ,36.11653,6.35434,Africa/Algiers,26248
Tébessa,DZ,35.40417,8.12417,Africa/Algiers,194461
Tebesbest,DZ,33.11667,6.08333,Africa/Algiers,41091
Tazoult-Lambese,DZ,35.48171,6.26074,Africa/Algiers,41636
Tamanghasset,DZ,22.785,5.52278,Africa/Algiers,81752
Tamalous,DZ,36.83763,6.64018,Africa/Algiers,32579
Taïbet,DZ,33.08515,6.3891,Africa/Algiers,21000
Tadmaït,DZ,36.74413,3.90045,Africa/Algiers,20952
Tadjenanet,DZ,36.12129,5.9867,Africa/Algiers,41833
Sour el Ghozlane,DZ,36.14766,3.69123,Africa/Algiers,43985
Souma,DZ,36.51833,2.90528,Africa/Algiers,40745
Lardjem,DZ,35.74922,1.54778,Africa/Algiers,30000
Souk Ahras,DZ,36.28639,7.95111,Africa/Algiers,153479
Sougueur,DZ,35.18568,1.49612,Africa/Algiers,71036
Skikda,DZ,36.87617,6.90921,Africa/Algiers,182903
Sig,DZ,35.52832,-0.19369,Africa/Algiers,61373
Sidi Okba,DZ,34.74512,5.89833,Africa/Algiers,29499
Sidi Moussa,DZ,36.60637,3.08783,Africa/Algiers,30887
Sidi Mérouane,DZ,36.52056,6.26111,Africa/Algiers,25129
Sidi Khaled,DZ,34.387,4.98785,Africa/Algiers,38987
Sidi ech Chahmi,DZ,35.65903,-0.52168,Africa/Algiers,35512
Sidi Bel Abbes,DZ,35.18994,-0.63085,Africa/Algiers,210146
Sidi Amrane,DZ,33.49885,6.00803,Africa/Algiers,29734
Sidi Akkacha,DZ,36.46472,1.30258,Africa/Algiers,26558
Sidi Aïssa,DZ,35.88548,3.77236,Africa/Algiers,66856
Sidi Abdelli,DZ,35.06937,-1.13706,Africa/Algiers,23543
Sfizef,DZ,35.23464,-0.24435,Africa/Algiers,27914
Sétif,DZ,36.19112,5.41373,Africa/Algiers,252127
Sedrata,DZ,36.12868,7.53376,Africa/Algiers,45300
Seddouk,DZ,36.54722,4.68611,Africa/Algiers,19884
Sebdou,DZ,34.63703,-1.33143,Africa/Algiers,32570
Saoula,DZ,36.70456,3.02462,Africa/Algiers,16812
Salah Bey,DZ,35.85451,5.29053,Africa/Algiers,23339
Saïda,DZ,34.83033,0.15171,Africa/Algiers,142497
Rouissat,DZ,31.92427,5.35018,Africa/Algiers,80784
Rouiba,DZ,36.73829,3.28079,Africa/Algiers,117558
Rouached,DZ,36.45774,6.04267,Africa/Algiers,40263
Robbah,DZ,33.27967,6.90984,Africa/Algiers,30446
Remchi,DZ,35.06196,-1.43362,Africa/Algiers,31837
Relizane,DZ,35.73734,0.55599,Africa/Algiers,123255
Reguiba,DZ,33.56391,6.70326,Africa/Algiers,25210
Reghaïa,DZ,36.73587,3.34018,Africa/Algiers,54962
Reggane,DZ,26.71576,0.1714,Africa/Algiers,32974
Râs el Oued,DZ,35.9441,5.03107,Africa/Algiers,44947
Râs el Aïoun,DZ,35.67384,5.6453,Africa/Algiers,34167
Oum el Bouaghi,DZ,35.87541,7.11353,Africa/Algiers,67201
Ouled Slama Fouaga,DZ,36.54828,3.11006,Africa/Algiers,27573
Ouled Moussa,DZ,36.68394,3.36661,Africa/Algiers,40692
Ouled Mimoun,DZ,34.90472,-1.03394,Africa/Algiers,25377
Ouled Haddaj,DZ,36.71461,3.3422,Africa/Algiers,29012
Ouled Djellal,DZ,34.43,5.06139,Africa/Algiers,58481
Ouenza,DZ,35.95333,8.12917,Africa/Algiers,47312
Oued Zenati,DZ,36.31611,7.16364,Africa/Algiers,27441
Oued Sly,DZ,36.10124,1.19949,Africa/Algiers,30504
Oued Rhiou,DZ,35.96124,0.91896,Africa/Algiers,55430
Oued Fodda,DZ,36.18503,1.53299,Africa/Algiers,44523
Oued el Alleug,DZ,36.55528,2.79028,Africa/Algiers,21146
Oued el Abtal,DZ,35.45595,0.68778,Africa/Algiers,22819
Ouargla,DZ,31.94932,5.32502,Africa/Algiers,169928
Oran,DZ,35.69906,-0.63588,Africa/Algiers,803329
N’Gaous,DZ,35.555,5.61056,Africa/Algiers,29453
Nedroma,DZ,35.01361,-1.74799,Africa/Algiers,27742
Naciria,DZ,36.74625,3.83163,Africa/Algiers,15387
M'Sila,DZ,35.70889,4.53722,Africa/Algiers,132975
Mouzaïa,DZ,36.46695,2.68991,Africa/Algiers,28552
Mostaganem,DZ,35.93115,0.08918,Africa/Algiers,162885
Mohammadia,DZ,35.58861,0.06861,Africa/Algiers,62410
Miliana,DZ,36.30554,2.2248,Africa/Algiers,43366
Mila,DZ,36.45028,6.26444,Africa/Algiers,63251
Metlili Chaamba,DZ,32.26667,3.63333,Africa/Algiers,39588
Messaad,DZ,34.15429,3.50309,Africa/Algiers,97091
Meskiana,DZ,35.63058,7.66606,Africa/Algiers,30071
Mers el Kebir,DZ,35.7279,-0.7081,Africa/Algiers,20178
Merouana,DZ,35.63106,5.91186,Africa/Algiers,47646
Melouza,DZ,35.97999,4.18665,Africa/Algiers,25701
Mekla,DZ,36.68178,4.26378,Africa/Algiers,29560
Mehdia daira de meghila,DZ,35.43058,1.75714,Africa/Algiers,31396
Megarine,DZ,33.19195,6.08695,Africa/Algiers,31711
Meftah,DZ,36.6204,3.22248,Africa/Algiers,40878
Médéa,DZ,36.26417,2.75393,Africa/Algiers,145441
Mecheria,DZ,33.54453,-0.28117,Africa/Algiers,65043
M’Daourouch,DZ,36.07821,7.8196,Africa/Algiers,36351
Mazouna,DZ,36.12232,0.89865,Africa/Algiers,22366
Mascara,DZ,35.39664,0.14027,Africa/Algiers,108629
Mansourah,DZ,36.08725,4.45192,Africa/Algiers,22117
Mansoûra,DZ,34.86158,-1.33935,Africa/Algiers,52285
Makouda,DZ,36.78567,4.06273,Africa/Algiers,34515
Maghnia,DZ,34.84969,-1.72753,Africa/Algiers,87373
L’Arbaa Naït Irathen,DZ,36.63112,4.19864,Africa/Algiers,30609
Larbaâ,DZ,36.56471,3.15434,Africa/Algiers,58295
Lakhdaria,DZ,36.56463,3.5933,Africa/Algiers,42886
Laghouat,DZ,33.8,2.86514,Africa/Algiers,134372
Ksar el Boukhari,DZ,35.88889,2.74905,Africa/Algiers,59634
Ksar Chellala,DZ,35.21222,2.31889,Africa/Algiers,51451
Kolea,DZ,36.63888,2.76845,Africa/Algiers,61643
Khenchela,DZ,35.43583,7.14333,Africa/Algiers,114472
Khemis Miliana,DZ,36.26104,2.22015,Africa/Algiers,80512
Khemis el Khechna,DZ,36.64997,3.3308,Africa/Algiers,46965
Kerkera,DZ,36.92917,6.58556,Africa/Algiers,27177
Kaïs,DZ,35.49474,6.92492,Africa/Algiers,32668
Jijel,DZ,36.821,5.76352,Africa/Algiers,131513
Djidiouia,DZ,35.92989,0.82871,Africa/Algiers,31996
Ighram,DZ,36.46295,4.50532,Africa/Algiers,15030
Hennaya,DZ,34.95139,-1.36806,Africa/Algiers,26515
Héliopolis,DZ,36.50361,7.44278,Africa/Algiers,40139
Hassi Messaoud,DZ,31.68041,6.07286,Africa/Algiers,44478
Assi Bou Nif,DZ,35.69222,-0.49944,Africa/Algiers,53700
Hassi Bahbah,DZ,35.07109,3.0299,Africa/Algiers,77000
Hammamet,DZ,35.44862,7.95184,Africa/Algiers,28536
Hammam Bou Hadjar,DZ,35.37889,-0.96778,Africa/Algiers,25912
Hamma Bouziane,DZ,36.41205,6.59603,Africa/Algiers,83603
Hadjout,DZ,36.51257,2.41382,Africa/Algiers,33830
Guerara,DZ,32.79211,4.49949,Africa/Algiers,58572
Guemar,DZ,33.48529,6.79693,Africa/Algiers,48413
Guelma,DZ,36.46214,7.42608,Africa/Algiers,120004
Grarem,DZ,36.51611,6.32722,Africa/Algiers,28551
Ghazaouet,DZ,35.09579,-1.85772,Africa/Algiers,28433
Ghardaïa,DZ,32.49094,3.67347,Africa/Algiers,142913
Gdyel,DZ,35.78111,-0.42581,Africa/Algiers,32774
Frenda,DZ,35.06544,1.04945,Africa/Algiers,49376
Freha,DZ,36.75234,4.3155,Africa/Algiers,31068
Feraoun,DZ,36.56041,4.85454,Africa/Algiers,21700
Feidh el Botma,DZ,34.5,3.76667,Africa/Algiers,26857
Fedj M’Zala,DZ,36.40937,5.94463,Africa/Algiers,26176
Es Senia,DZ,35.64779,-0.62397,Africa/Algiers,39064
En Nedjma,DZ,35.64785,-0.5695,Africa/Algiers,51665
El Oued,DZ,33.35608,6.86319,Africa/Algiers,186525
El Milia,DZ,36.75472,6.2725,Africa/Algiers,45945
El Meghaïer,DZ,33.95139,5.92222,Africa/Algiers,39106
El Malah,DZ,35.39137,-1.09238,Africa/Algiers,19415
El Kseur,DZ,36.67942,4.8555,Africa/Algiers,26050
El Khroub,DZ,36.26333,6.69361,Africa/Algiers,90122
El Kala,DZ,36.89556,8.44333,Africa/Algiers,35449
El Idrissia,DZ,34.44542,2.52749,Africa/Algiers,29856
El Hadjira,DZ,32.61336,5.51259,Africa/Algiers,39744
El Hadjar,DZ,36.80377,7.73684,Africa/Algiers,26060
El Menia,DZ,30.57556,2.88417,Africa/Algiers,57344
El Eulma,DZ,36.15281,5.69016,Africa/Algiers,145380
El Bayadh,DZ,33.68318,1.01927,Africa/Algiers,85577
El Attaf,DZ,36.22393,1.67187,Africa/Algiers,33349
Chlef,DZ,36.16525,1.33452,Africa/Algiers,178616
El Arrouch,DZ,36.65306,6.83639,Africa/Algiers,33085
El Aouinet,DZ,35.86691,7.88673,Africa/Algiers,32971
El Amria,DZ,35.52439,-1.01577,Africa/Algiers,26407
El Affroun,DZ,36.4701,2.62528,Africa/Algiers,35074
El Achir,DZ,36.06386,4.62744,Africa/Algiers,158333
El Abiodh Sidi Cheikh,DZ,32.893,0.54839,Africa/Algiers,39283
El Abadia,DZ,36.26951,1.68609,Africa/Algiers,27185
Ech Chettia,DZ,36.19591,1.25537,Africa/Algiers,60170
Drean,DZ,36.68482,7.75111,Africa/Algiers,55147
Draa el Mizan,DZ,36.53628,3.8334,Africa/Algiers,41263
Draa Ben Khedda,DZ,36.73436,3.96223,Africa/Algiers,29403
Douéra,DZ,36.67,2.94444,Africa/Algiers,46266
Djelfa,DZ,34.67279,3.263,Africa/Algiers,265833
Djamaa,DZ,33.53388,5.99306,Africa/Algiers,34920
Didouche Mourad,DZ,36.4525,6.63639,Africa/Algiers,25764
Dellys,DZ,36.91716,3.91311,Africa/Algiers,26384
Debila,DZ,33.51667,6.95,Africa/Algiers,36834
Dar el Beïda,DZ,36.71333,3.2125,Africa/Algiers,37311
Dar Chioukh,DZ,34.89638,3.48543,Africa/Algiers,26605
Constantine,DZ,36.365,6.61472,Africa/Algiers,448028
Chorfa,DZ,36.36505,4.32636,Africa/Algiers,20556
Chiffa,DZ,36.46293,2.73873,Africa/Algiers,23218
Chetouane,DZ,34.92129,-1.29512,Africa/Algiers,36776
Cheria,DZ,35.27306,7.75194,Africa/Algiers,66160
Cherchell,DZ,36.605,2.19083,Africa/Algiers,34372
Cheraga,DZ,36.76775,2.95924,Africa/Algiers,27835
Chemini,DZ,36.6,4.61667,Africa/Algiers,21585
Chellalat el Adhaouara,DZ,35.93968,3.41588,Africa/Algiers,26077
Chelghoum el Aïd,DZ,36.16286,6.16651,Africa/Algiers,54495
Chebli,DZ,36.57722,3.00917,Africa/Algiers,19901
Charef,DZ,34.62098,2.79503,Africa/Algiers,27700
Chabet el Ameur,DZ,36.63709,3.69474,Africa/Algiers,19522
Brezina,DZ,33.09892,1.26082,Africa/Algiers,19084
Bou Tlelis,DZ,35.57272,-0.8996,Africa/Algiers,26144
Bou Saâda,DZ,35.20855,4.17402,Africa/Algiers,111787
Boumahra Ahmed,DZ,36.45833,7.51389,Africa/Algiers,23022
Boukadir,DZ,36.06629,1.12602,Africa/Algiers,28652
Bou Ismaïl,DZ,36.64262,2.69007,Africa/Algiers,40984
Bouïra,DZ,36.37489,3.902,Africa/Algiers,68545
Bouinan,DZ,36.53167,2.99194,Africa/Algiers,30271
Bou Hanifia el Hamamat,DZ,35.31473,-0.05037,Africa/Algiers,27576
Bougara,DZ,36.54178,3.081,Africa/Algiers,38352
Bougaa,DZ,36.33293,5.08843,Africa/Algiers,31922
Boufarik,DZ,36.57413,2.91214,Africa/Algiers,57162
Boudouaou,DZ,36.72735,3.40995,Africa/Algiers,56398
Boudjima,DZ,36.80218,4.15187,Africa/Algiers,20557
Boû Arfa,DZ,36.46298,2.81464,Africa/Algiers,44143
Bordj Zemoura,DZ,36.27462,4.85668,Africa/Algiers,19782
Bordj Menaïel,DZ,36.74328,3.7173,Africa/Algiers,44572
Bordj Ghdir,DZ,35.90111,4.89806,Africa/Algiers,34136
Bordj el Kiffan,DZ,36.74871,3.19249,Africa/Algiers,123246
Bordj Bou Arreridj,DZ,36.07389,4.76139,Africa/Algiers,158812
Boghni,DZ,36.54222,3.95306,Africa/Algiers,54666
Blida,DZ,36.47004,2.8277,Africa/Algiers,331779
Biskra,DZ,34.85038,5.72805,Africa/Algiers,204661
Birkhadem,DZ,36.71499,3.05002,Africa/Algiers,71722
Birine,DZ,35.635,3.225,Africa/Algiers,26670
Bir el Djir,DZ,35.72,-0.545,Africa/Algiers,68032
Bir el Ater,DZ,34.74488,8.06024,Africa/Algiers,70749
Besbes,DZ,36.70222,7.84722,Africa/Algiers,66287
Berrouaghia,DZ,36.13516,2.91085,Africa/Algiers,55775
Berriane,DZ,32.82648,3.76689,Africa/Algiers,30170
Berrahal,DZ,36.83528,7.45333,Africa/Algiers,19294
Bensekrane,DZ,35.07465,-1.22431,Africa/Algiers,21283
Ben Mehidi,DZ,36.76967,7.90641,Africa/Algiers,28398
Beni Tamou,DZ,36.53833,2.82174,Africa/Algiers,33846
Beni Saf,DZ,35.30099,-1.38226,Africa/Algiers,39749
Beni Mester,DZ,34.87045,-1.42319,Africa/Algiers,19808
Beni Mered,DZ,36.52389,2.86131,Africa/Algiers,92749
Beni Douala,DZ,36.61954,4.08282,Africa/Algiers,33611
Beni Amrane,DZ,36.66774,3.59115,Africa/Algiers,18414
Béjaïa,DZ,36.75587,5.08433,Africa/Algiers,176139
Béchar,DZ,31.61667,-2.21667,Africa/Algiers,165241
Batna City,DZ,35.55597,6.17414,Africa/Algiers,289504
Barika,DZ,35.38901,5.36584,Africa/Algiers,98141
Barbacha,DZ,36.56667,4.96667,Africa/Algiers,31983
Baraki,DZ,36.66655,3.09606,Africa/Algiers,105402
Bab Ezzouar,DZ,36.72615,3.18291,Africa/Algiers,275630
Azzaba,DZ,36.73944,7.10528,Africa/Algiers,33766
Azazga,DZ,36.74472,4.37222,Africa/Algiers,26515
Arzew,DZ,35.85048,-0.318,Africa/Algiers,58162
Arris,DZ,35.25881,6.34706,Africa/Algiers,36641
Arhribs,DZ,36.79361,4.31158,Africa/Algiers,23958
Arbatache,DZ,36.63773,3.37127,Africa/Algiers,17481
Aoulef,DZ,26.96667,1.08333,Africa/Algiers,21723
Annaba,DZ,36.9,7.76667,Africa/Algiers,342703
Ammi Moussa,DZ,35.86781,1.11143,Africa/Algiers,27530
Amizour,DZ,36.64022,4.90131,Africa/Algiers,25825
Algiers,DZ,36.73225,3.08746,Africa/Algiers,2364230
Akbou,DZ,36.4575,4.53494,Africa/Algiers,38291
Aïn Touta,DZ,35.37675,5.90001,Africa/Algiers,55736
Aïn Temouchent,DZ,35.29749,-1.14037,Africa/Algiers,70810
Aïn Taya,DZ,36.79333,3.28694,Africa/Algiers,33575
Aïn Smara,DZ,36.2674,6.50135,Africa/Algiers,32057
Aïn Sefra,DZ,32.75,-0.58333,Africa/Algiers,47415
Aïn Oussera,DZ,35.45139,2.90583,Africa/Algiers,98107
Aïn Oulmene,DZ,35.92296,5.29604,Africa/Algiers,51207
Aïn M’Lila,DZ,36.03687,6.57219,Africa/Algiers,65371
’Aïn Merane,DZ,36.16277,0.97037,Africa/Algiers,34413
Aïn Kercha,DZ,35.92472,6.69528,Africa/Algiers,30575
Aïn Fakroun,DZ,35.97108,6.87374,Africa/Algiers,48804
’Aïn el Turk,DZ,35.74381,-0.7693,Africa/Algiers,36326
’Aïn el Melh,DZ,34.84146,4.16383,Africa/Algiers,32880
’Aïn el Hammam,DZ,36.56471,4.30619,Africa/Algiers,28029
Ain el Hadjel,DZ,35.67003,3.88153,Africa/Algiers,28728
Aïn el Bya,DZ,35.80389,-0.30178,Africa/Algiers,37241
’Aïn el Berd,DZ,35.36395,-0.51279,Africa/Algiers,16548
’Aïn el Bell,DZ,34.34381,3.22475,Africa/Algiers,31916
’Aïn Deheb,DZ,34.84218,1.54697,Africa/Algiers,36146
Aïn Defla,DZ,36.26405,1.9679,Africa/Algiers,55259
Aïn Bessem,DZ,36.29333,3.67319,Africa/Algiers,32548
’Aïn Benian,DZ,36.80277,2.92185,Africa/Algiers,31102
Aïn Beïda,DZ,35.79639,7.39278,Africa/Algiers,116064
’Aïn Azel,DZ,35.81846,5.51115,Africa/Algiers,37970
Aïn Arnat,DZ,36.18683,5.31347,Africa/Algiers,25315
’Aïn Abid,DZ,36.23194,6.94333,Africa/Algiers,29486
Ahmed Bel Hadj,DZ,36.80146,7.60811,Africa/Algiers,29629
Aflou,DZ,34.11279,2.10228,Africa/Algiers,93585
Adrar,DZ,27.87429,-0.29388,Africa/Algiers,68276
Abou el Hassan,DZ,36.41657,1.19616,Africa/Algiers,24022
Babor,DZ,36.48994,5.5393,Africa/Algiers,18445
In Salah,DZ,27.19678,2.47913,Africa/Algiers,32518
Ali Mendjeli,DZ,36.2459,6.5671,Africa/Algiers,64120
District of Taher,DZ,36.772,5.8982,Africa/Algiers,60426
Collo,DZ,37.00563,6.56049,Africa/Algiers,29354
Maâtkas,DZ,36.60466,3.98437,Africa/Algiers,26142
Sidi Amar,DZ,36.82019,7.71641,Africa/Algiers,45148
Zamora,EC,-4.06446,-78.95123,America/Guayaquil,15276
Yaguachi Nuevo,EC,-2.09757,-79.69261,America/Guayaquil,27947
Vinces,EC,-1.55637,-79.75249,America/Guayaquil,32497
Ventanas,EC,-1.44285,-79.46274,America/Guayaquil,38168
El Empalme,EC,-1.04491,-79.6384,America/Guayaquil,48754
Valencia,EC,-0.95312,-79.35513,America/Guayaquil,18841
Tulcán,EC,0.8124,-77.71709,America/Guayaquil,86498
Tena,EC,-0.9961,-77.81315,America/Guayaquil,17172
Sucre,EC,-1.27987,-80.41776,America/Guayaquil,15286
Santo Domingo de los Colorados,EC,-0.25368,-79.17628,America/Guayaquil,458580
Santa Rosa,EC,-3.45571,-79.9637,America/Guayaquil,41816
Santa Elena,EC,-2.22652,-80.85807,America/Guayaquil,42214
San Lorenzo de Esmeraldas,EC,1.28626,-78.83514,America/Guayaquil,20209
Samborondón,EC,-1.96071,-79.72566,America/Guayaquil,24118
Salinas,EC,-2.21452,-80.95151,America/Guayaquil,43862
Rosa Zarate,EC,0.32779,-79.47407,America/Guayaquil,42121
Riobamba,EC,-1.66506,-78.65887,America/Guayaquil,264048
Quito,EC,-0.22985,-78.52495,America/Guayaquil,2781641
Quevedo,EC,-1.02881,-79.46264,America/Guayaquil,213842
Puyo,EC,-1.49156,-78.00337,America/Guayaquil,24881
Pujilí,EC,-0.95759,-78.69636,America/Guayaquil,16168
Puerto Francisco de Orellana,EC,-0.44967,-76.99724,America/Guayaquil,48144
Posorja,EC,-2.70924,-80.24719,America/Guayaquil,30886
Portoviejo,EC,-1.05764,-80.45145,America/Guayaquil,321800
Pomasqui,EC,-0.0542,-78.45382,America/Guayaquil,28724
